batch,sourcefile,sourceline,fullpath,filename,bytes,timestamp,md5,relpath
Archive044,Archive044_2015-05-05_DPIdetails.txt,13,./Ims-026103-0001.mov,Ims-026103-0001.mov,34453162812,Fri Dec 12 15:45:11 EST 2014,0e27c4a3e2401544b0b2c0ee51edf300,Ims-026103-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,14,./Ims-026104-0001.mov,Ims-026104-0001.mov,38873684844,Fri Dec 12 16:32:21 EST 2014,feb580747ea9adf2dae0f98cf9125bda,Ims-026104-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,15,./Ims-026105-0001.mov,Ims-026105-0001.mov,34500219676,Tue Dec 09 18:11:38 EST 2014,3da5a49ea032672ffed27e9c77f8d112,Ims-026105-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,16,./Ims-026106-0001.mov,Ims-026106-0001.mov,33141217372,Tue Dec 09 17:25:56 EST 2014,08acc3d67e212f89b139ff24db60badb,Ims-026106-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,17,./Ims-026107-0001.mov,Ims-026107-0001.mov,41884383196,Tue Dec 09 17:45:48 EST 2014,f21265c4faf18df7667b0005d6daacf6,Ims-026107-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,18,./Ims-026108-0001.mov,Ims-026108-0001.mov,37787612348,Fri Dec 12 15:52:04 EST 2014,66c72fa738f1e62fe5687f5507d76e81,Ims-026108-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,19,./Ims-026109-0001.mov,Ims-026109-0001.mov,37454449740,Fri Dec 12 16:13:55 EST 2014,c903e43e9ef4a51bd90c136d4c06131e,Ims-026109-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,20,./Ims-026110-0001.mov,Ims-026110-0001.mov,20450921564,Fri Dec 12 16:17:33 EST 2014,867ed562958b5938f22156fd68e249b2,Ims-026110-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,21,./Ims-026111-0001.mov,Ims-026111-0001.mov,10249933980,Thu Dec 11 16:37:07 EST 2014,fd9ab70a86252e9552422c4492aea1e3,Ims-026111-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,22,./Ims-026112-0001.mov,Ims-026112-0001.mov,14016365596,Thu Dec 11 16:35:13 EST 2014,a5ea3cf7a6e9a0acd6f82c9bdc58040b,Ims-026112-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,23,./Ims-026113-0001.mov,Ims-026113-0001.mov,39467542524,Wed Dec 10 16:21:51 EST 2014,b18cacb5bc021fd1bb03c09a4517da93,Ims-026113-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,24,./Ims-026114-0001.mov,Ims-026114-0001.mov,33782131868,Wed Dec 10 15:22:40 EST 2014,0d8b4949c59e0ad5e47e33769b598f6c,Ims-026114-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,25,./Ims-026115-0001.mov,Ims-026115-0001.mov,34406105948,Tue Dec 09 18:41:47 EST 2014,c6f13b4b6bb1aed1068b8c9c3e01285a,Ims-026115-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,26,./Ims-026116-0001.mov,Ims-026116-0001.mov,37387629020,Wed Dec 10 15:41:54 EST 2014,d0296b3159374793c2f60ba1ed6b3714,Ims-026116-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,27,./Ims-026117-0001.mov,Ims-026117-0001.mov,42007672156,Fri Dec 12 16:39:48 EST 2014,574a894e951fa6ad95db0d82c4c8f336,Ims-026117-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,28,./Ims-026118-0001.mov,Ims-026118-0001.mov,34013651644,Tue Dec 09 18:29:21 EST 2014,280b5ff3b1f7f4a2415fa6bc436e871e,Ims-026118-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,29,./Ims-026119-0001.mov,Ims-026119-0001.mov,34663977580,Wed Dec 10 14:54:07 EST 2014,acf4ffb1b595c013e388e1c8b68fd36e,Ims-026119-0001.mov
